TimeStamp,Date,Time,User,Tweet,Text,Location,Sentiment,Score,Pos_Score,Neg_Score,Neu_Score
2022-06-17 23:59:31+00:00,2022-06-17,23:59:31,TheEclecticMix1,"“Goodbye never ends” 
“and what lasts forever are the smallest moments that never fade”

A moving #FathersDay tribu… https://t.co/ryV5zD11LL","“goodbye never ends” 
“and what lasts forever are the smallest moments that never fade”

a moving fathersday tribu… httpstcoryvzdll",Frankfort Ky/St Petersburg FL,0,0.0,0.0,0.0,0.0
2022-06-17 23:59:20+00:00,2022-06-17,23:59:20,Bekanecycles,See you tomorrow. DM or email if you want a T-shirt. #FathersDay https://t.co/F25NDGiuTu,see you tomorrow dm or email if you want a tshirt fathersday httpstcofndgiutu,"Ottawa, Ontario",0,0.0772,0.0,0.0,0.0772
2022-06-17 23:59:00+00:00,2022-06-17,23:59:00,cristinacoach,"Who else use to make Shutterfly or photo books for their kids as they were growing up?
https://t.co/FOmF7kyUvB… https://t.co/5yHVt2wvAD","who else use to make shutterfly or photo books for their kids as they were growing up
httpstcofomfkyuvb… httpstcoyhvtwvad",,1,0.1779,0.1779,0.0,0.0
2022-06-17 23:58:32+00:00,2022-06-17,23:58:32,TomAndChee,"Watch our very own Roger David (CEO aka The Head Cheese) and Curt (our local Anderson GM) try their best, CHEESY da… https://t.co/skRDDzkOb0",watch our very own roger david ceo aka the head cheese and curt our local anderson gm try their best cheesy da… httpstcoskrddzkob,"Cincinnati, OH",1,0.6369,0.6369,0.0,0.0
2022-06-17 23:58:31+00:00,2022-06-17,23:58:31,lahockeygirl,"Fathers Day Card, #1 Dad Card, Best Dad Ever, Trophy Dad Card, by 19Designs https://t.co/1DpY4EXu17 via @Etsy;… https://t.co/qTSeOKXDco",fathers day card  dad card best dad ever trophy dad card by designs httpstcodpyexu via etsy… httpstcoqtseokxdco,hockeyland,1,0.6369,0.6369,0.0,0.0
2022-06-17 23:58:27+00:00,2022-06-17,23:58:27,ScorpioSungodd1,I love and miss you daddy 🥲🥲🥲 #FathersDay want be the same 🥲😢🤲🏾,i love and miss you daddy 🥲🥲🥲 fathersday want be the same 🥲😢🤲🏾,,1,0.5994,0.5994,0.0,0.0
2022-06-17 23:57:32+00:00,2022-06-17,23:57:32,VinnieGRadio,Wow! Just heard a rocking chestnut/gem on @jackybambam933’s #FathersDay edition of his #youcallitfridaynight on… https://t.co/216UPwsTfy,wow just heard a rocking chestnutgem on jackybambam’s fathersday edition of his youcallitfridaynight on… httpstcoupwstfy,Gilbertsville PA,1,0.5859,0.5859,0.0,0.0
2022-06-17 23:57:29+00:00,2022-06-17,23:57:29,Nedbank,"@MNgwebedla That is very thoughtful of you, Gordon 💚 Good luck! #FathersDay",mngwebedla that is very thoughtful of you gordon 💚 good luck fathersday,South Africa,1,0.8313,0.8313,0.0,0.0
2022-06-17 23:57:18+00:00,2022-06-17,23:57:18,Digvijay9452,"#FathersDay
Supreme God Kabir Saheb Ji is the father of all souls.
:Supreme Leader Saint Rampal Ji Maharaj Ji… https://t.co/pD3G5gUO3O","fathersday
supreme god kabir saheb ji is the father of all souls
supreme leader saint rampal ji maharaj ji… httpstcopdgguoo","Maitha, Kanpur dehat.",0,0.8519,0.0,0.0,0.8519
2022-06-17 23:57:14+00:00,2022-06-17,23:57:14,club_stephanie,Who cares win!!!  What are the fans of the #1 anchor/producer @_StephanieMyers @OANN doing 🤔 this weekend??… https://t.co/Yl2yg0l5Xs,who cares win  what are the fans of the  anchorproducer stephaniemyers oann doing 🤔 this weekend… httpstcoylyglxs,"California, USA",1,0.7783,0.7783,0.0,0.0
2022-06-17 23:57:03+00:00,2022-06-17,23:57:03,MENATTI,Menatti would like to thank and celebrate all of the father’s with a 30% off sale. #fathersday #fathers #kids… https://t.co/g5VA2xY4td,menatti would like to thank and celebrate all of the father’s with a  off sale fathersday fathers kids… httpstcogvaxytd,"Seattle, WA",1,0.8271,0.8271,0.0,0.0
2022-06-17 23:56:01+00:00,2022-06-17,23:56:01,BlueHalo_LLC,"As our Father of IT Matt Ramsey likes to say: ""There's no bad joke, like a dad joke!"" In the spirit of Father's Day… https://t.co/jdULBNeqGJ",as our father of it matt ramsey likes to say theres no bad joke like a dad joke in the spirit of fathers day… httpstcojdulbneqgj,"Huntsville, Alabama",1,0.5719,0.5719,0.0,0.0
2022-06-17 23:56:00+00:00,2022-06-17,23:56:00,GWChrysler,"Celebrating great dads everywhere this weekend:

HAPPY FATHER'S DAY! 

From Great West Chrysler.

#happyfathersday… https://t.co/v6UEBGEIZg","celebrating great dads everywhere this weekend

happy fathers day 

from great west chrysler

happyfathersday… httpstcovuebgeizg","Edmonton, AB",1,0.9485,0.9485,0.0,0.0
2022-06-17 23:55:23+00:00,2022-06-17,23:55:23,jayblueeyez76,Decided to mow the lawn just in time before it decided to rain with my #FathersDay gift from my wife a… https://t.co/geVNR75E1B,decided to mow the lawn just in time before it decided to rain with my fathersday gift from my wife a… httpstcogevnreb,Littleton New Hampshire,1,0.4404,0.4404,0.0,0.0
2022-06-17 23:55:22+00:00,2022-06-17,23:55:22,MNgwebedla,"@Nedbank @BoxerStores I'm buying him a new Drill Machine. The current one he has is broken,so I'm definitely sure h… https://t.co/GQwwVEqmEz",nedbank boxerstores im buying him a new drill machine the current one he has is brokenso im definitely sure h… httpstcogqwwveqmez,,1,0.6124,0.6124,0.0,0.0
